T\beta	-2.0	-1.0	0.0	1.0	1.5	2.0
10.0	5.150	4.307	3.645	3.116	2.985	2.691
15.0	2.013	1.790	1.607	1.456	1.393	1.333
20.0	1.442	1.322	1.224	1.144	1.111	1.080
30.0	1.141	1.081	1.034	1.000	0.987	0.977
40.0	1.580	1.019	0.992	0.976	0.981	0.970
50.0	1.026	0.998	0.982	0.975	0.976	0.979
75.0	1.001	0.987	0.983	0.989	0.996	1.005
100.0	0.996	0.987	0.989	1.001	1.011	1.023
