T\beta	1.5	1.8	2.0
3.0	0.7744	0.7889	0.7986
4.0	0.9168	0.9284	0.9361
5.0	0.9802	0.9884	0.9939
6.0	1.0080	1.0133	1.0169
7.0	1.0195	1.0226	1.0246
8.0	1.0230	1.0244	1.0253
9.0	1.0228	1.0227	1.0227
10.0	1.0207	1.0196	1.0188
15.0	1.0055	1.0012	0.9984
20.0	0.9940	0.9884	0.9846
25.0	0.9864	0.9800	0.9757
30.0	0.9812	0.9743	0.9697
35.0	0.9775	0.9703	0.9655
40.0	0.9747	0.9673	0.9623
45.0	0.972	0.965	0.960
50.0	0.970	0.963	0.957
55.0	0.968	0.961	0.955
60.0	0.966	0.959	0.952
70.0	0.96	0.96	0.95
90.0	0.96	0.96	0.95
